Cu,Ni,P,T,Fluence,DeltaNDT
0.018,0.74,0.005,289,2.7,12
0.02,0.75,0.005,289,0.86,7
0.029,0.73,0.005,289,0.9,2
0.029,0.73,0.005,289,2.6,10
0.03,0.57,0.005,288,0.06,32
0.03,0.57,0.005,288,2.5,33
0.03,0.57,0.005,288,4,38
0.03,0.57,0.007,284,0.5,5
0.03,0.57,0.007,284,3.1,15
0.03,0.57,0.007,284,6.3,32
0.03,0.64,0.007,288,0.59,5
0.03,0.64,0.007,288,2,10
0.03,0.64,0.007,288,3.9,14
0.03,0.73,0.005,289,0.9,3
0.03,0.73,0.005,289,2.7,15
0.035,0.74,0.005,289,0.62,16
0.035,0.74,0.005,289,3.1,19
0.036,0.75,0.004,288,0.38,10
0.036,0.75,0.004,288,5.4,40
0.037,0.62,0.003,284,0.55,10
0.037,0.62,0.003,284,4.7,36
0.039,0.76,0.004,284,0.75,7
0.044,0.76,0.004,288,0.37,0
0.05,0.58,0.005,284,0.5,10
0.05,0.58,0.005,284,3.1,27
0.05,0.58,0.005,284,6.4,54
0.05,0.62,0.007,288,0.35,25
0.05,0.62,0.007,288,2,41
0.05,0.62,0.007,288,4,55
0.068,0.59,0.009,284,0.48,21
0.068,0.59,0.009,284,3,29
0.068,0.59,0.009,284,5.8,46
0.07,0.56,0.013,289,0.3,9
0.07,0.56,0.013,289,1.5,26
0.07,0.56,0.013,289,2.5,32
0.07,0.56,0.013,289,5,45
0.09,0.55,0.01,289,0.3,22
0.09,0.55,0.01,289,2,42
0.09,0.55,0.01,289,3.5,50
0.1,0.57,0.01,289,0.3,17
0.1,0.57,0.01,289,2.2,41
0.1,0.57,0.01,289,3.5,48
0.12,0.56,0.01,288,0.54,51
0.12,0.56,0.01,288,2.1,53
0.12,0.56,0.01,288,3.5,72
0.12,0.58,0.014,289,0.8,52
0.12,0.58,0.014,289,1.9,62
0.12,0.58,0.014,289,3.1,75
0.12,0.58,0.014,289,4.4,81
0.13,0.58,0.014,289,0.4,22
0.13,0.58,0.014,289,1.8,70
0.13,0.58,0.014,289,2.8,63
0.13,0.58,0.014,289,4.7,88
0.16,0.59,0.011,289,0.6,46
0.16,0.59,0.011,289,1.2,52
0.16,0.59,0.011,289,2.1,72
0.16,0.59,0.011,289,3,75
0.16,0.61,0.01,289,0.3,26
0.16,0.61,0.01,289,1.3,58
0.16,0.61,0.01,289,3.4,72
0.014,0.86,0.007,284,0.5,18
0.014,0.86,0.007,284,3.1,25
0.014,0.86,0.007,284,6.4,41
0.017,0.9,0.006,289,0.62,24
0.019,0.88,0.008,284,0.55,24
0.019,0.88,0.008,284,4.7,33
0.02,0.88,0.008,284,0.5,14
0.02,0.88,0.008,284,3.1,24
0.02,0.88,0.008,284,6.3,34
0.04,0.09,0.008,288,0.59,15
0.04,0.09,0.008,288,2,16
0.04,0.09,0.008,288,3.9,37
0.041,0.92,0.009,284,0.48,8
0.041,0.92,0.009,284,3,24
0.041,0.92,0.009,284,5.8,41
0.06,0.86,0.011,289,0.4,18
0.06,0.86,0.011,289,1.8,31
0.06,0.86,0.011,289,2.8,38
0.06,0.86,0.011,289,4.7,57
0.07,0.84,0.012,288,0.6,27
0.07,0.84,0.012,288,2.5,48
0.07,0.84,0.012,288,4,45
0.09,0.84,0.012,289,0.3,2
0.09,0.84,0.012,289,2,35
0.09,0.84,0.012,289,3.5,36
0.09,0.91,0.014,288,0.35,48
0.09,0.91,0.014,288,2,69
0.09,0.91,0.014,288,4,91
0.1,0.84,0.013,289,0.3,24
0.1,0.84,0.013,289,1.5,41
0.1,0.84,0.013,289,2.5,45
0.1,0.84,0.013,289,5,59
0.1,0.9,0.011,289,0.8,44
0.1,0.9,0.011,289,1.9,64
0.1,0.9,0.011,289,3.1,78
0.1,0.9,0.011,289,4.4,77
0.13,0.84,0.012,289,0.3,20
0.13,0.84,0.012,289,2.2,57
0.13,0.84,0.012,289,3.5,61
0.13,0.85,0.011,288,0.54,28
0.13,0.85,0.011,288,2.1,52
0.13,0.85,0.011,288,3.5,64
0.14,0.8,0.012,289,0.3,33
0.14,0.8,0.012,289,1.3,56
0.14,0.8,0.012,289,3.4,77
0.19,1.08,0.012,289,0.6,104
0.19,1.08,0.012,289,1.2,114
0.19,1.08,0.012,289,2.1,126
0.19,1.08,0.012,289,3,131
